repository,pr_number,comment_id,comment_url,created_at,updated_at,exact_heading,message_variant,plan_stated,next_review_wait_stated,mutable_comment,retrieved_on,pr_open_to_limit_minutes,minutes_to_next_success_signal
llxprt-code,1979,4663789403,https://github.com/vybestack/llxprt-code/pull/1979#issuecomment-4663789403,2026-06-09T20:36:11Z,2026-06-09T23:33:36Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,24.9
llxprt-code,1982,4672678485,https://github.com/vybestack/llxprt-code/pull/1982#issuecomment-4672678485,2026-06-10T17:25:57Z,2026-06-10T20:53:38Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.4,14.7
llxprt-luther,32,4673143768,https://github.com/vybestack/llxprt-luther/pull/32#issuecomment-4673143768,2026-06-10T18:21:09Z,2026-06-10T18:21:09Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,207.1
llxprt-luther,33,4674850382,https://github.com/vybestack/llxprt-luther/pull/33#issuecomment-4674850382,2026-06-10T21:43:47Z,2026-06-10T22:11:47Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,4.4
llxprt-luther,34,4675527435,https://github.com/vybestack/llxprt-luther/pull/34#issuecomment-4675527435,2026-06-10T23:07:21Z,2026-06-10T23:07:21Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1263.7
llxprt-luther,35,4675737766,https://github.com/vybestack/llxprt-luther/pull/35#issuecomment-4675737766,2026-06-10T23:39:46Z,2026-06-10T23:39:46Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1231.3
llxprt-luther,36,4675946167,https://github.com/vybestack/llxprt-luther/pull/36#issuecomment-4675946167,2026-06-11T00:18:34Z,2026-06-11T00:18:34Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1192.5
llxprt-code,1994,4685227014,https://github.com/vybestack/llxprt-code/pull/1994#issuecomment-4685227014,2026-06-11T21:24:57Z,2026-06-11T22:33:10Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,4.4
llxprt-code,1996,4685371765,https://github.com/vybestack/llxprt-code/pull/1996#issuecomment-4685371765,2026-06-11T21:43:58Z,2026-06-11T21:55:00Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,7.1
llxprt-code,1998,4685667170,https://github.com/vybestack/llxprt-code/pull/1998#issuecomment-4685667170,2026-06-11T22:33:15Z,2026-06-12T18:14:47Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,1.0,173.7
llxprt-luther,39,4686156513,https://github.com/vybestack/llxprt-luther/pull/39#issuecomment-4686156513,2026-06-12T00:06:00Z,2026-06-12T00:31:55Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,8.8
llxprt-code,1999,4686430550,https://github.com/vybestack/llxprt-code/pull/1999#issuecomment-4686430550,2026-06-12T01:07:35Z,2026-06-12T04:14:55Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,19.3
llxprt-luther,40,4686486824,https://github.com/vybestack/llxprt-luther/pull/40#issuecomment-4686486824,2026-06-12T01:20:40Z,2026-06-12T01:20:40Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,143.3
llxprt-luther,41,4686645961,https://github.com/vybestack/llxprt-luther/pull/41#issuecomment-4686645961,2026-06-12T01:57:16Z,2026-06-12T01:57:16Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,106.8
llxprt-luther,42,4686771601,https://github.com/vybestack/llxprt-luther/pull/42#issuecomment-4686771601,2026-06-12T02:24:23Z,2026-06-12T02:24:23Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,79.6
llxprt-luther,43,4686936138,https://github.com/vybestack/llxprt-luther/pull/43#issuecomment-4686936138,2026-06-12T03:03:37Z,2026-06-12T03:03:37Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,2.5,40.4
llxprt-luther,44,4687118288,https://github.com/vybestack/llxprt-luther/pull/44#issuecomment-4687118288,2026-06-12T03:38:03Z,2026-06-12T04:05:02Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,6.0
llxprt-luther,45,4687503875,https://github.com/vybestack/llxprt-luther/pull/45#issuecomment-4687503875,2026-06-12T04:35:01Z,2026-06-12T04:35:01Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,5149.8
llxprt-luther,46,4688217932,https://github.com/vybestack/llxprt-luther/pull/46#issuecomment-4688217932,2026-06-12T06:52:33Z,2026-06-12T06:52:33Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,5012.2
llxprt-code,2004,4688623745,https://github.com/vybestack/llxprt-code/pull/2004#issuecomment-4688623745,2026-06-12T07:30:43Z,2026-06-12T08:53:20Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,6.5
llxprt-jefe,61,4694060956,https://github.com/vybestack/llxprt-jefe/pull/61#issuecomment-4694060956,2026-06-12T18:20:04Z,2026-06-12T18:30:53Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,10.8
llxprt-code,2007,4695472566,https://github.com/vybestack/llxprt-code/pull/2007#issuecomment-4695472566,2026-06-12T21:07:23Z,2026-06-12T21:07:23Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,47.0
llxprt-code,2043,4708770980,https://github.com/vybestack/llxprt-code/pull/2043#issuecomment-4708770980,2026-06-15T14:07:50Z,2026-06-15T19:42:59Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,109.8
llxprt-code,2046,4709832502,https://github.com/vybestack/llxprt-code/pull/2046#issuecomment-4709832502,2026-06-15T16:02:52Z,2026-06-15T18:56:14Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,10.3,631.9
llxprt-luther,54,4710189942,https://github.com/vybestack/llxprt-luther/pull/54#issuecomment-4710189942,2026-06-15T16:45:07Z,2026-06-15T16:45:07Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,99.7
llxprt-luther,55,4710608731,https://github.com/vybestack/llxprt-luther/pull/55#issuecomment-4710608731,2026-06-15T17:37:02Z,2026-06-15T17:37:02Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,47.8
llxprt-luther,56,4711006037,https://github.com/vybestack/llxprt-luther/pull/56#issuecomment-4711006037,2026-06-15T18:17:59Z,2026-06-15T18:46:14Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,6.8
llxprt-luther,58,4712501464,https://github.com/vybestack/llxprt-luther/pull/58#issuecomment-4712501464,2026-06-15T21:14:20Z,2026-06-15T21:40:20Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,5.2
llxprt-luther,59,4712916973,https://github.com/vybestack/llxprt-luther/pull/59#issuecomment-4712916973,2026-06-15T22:15:51Z,2026-06-15T22:35:02Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,4.8
llxprt-code,2101,4745752284,https://github.com/vybestack/llxprt-code/pull/2101#issuecomment-4745752284,2026-06-18T20:10:47Z,2026-06-18T23:54:15Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,19.0
llxprt-jefe,77,4746527217,https://github.com/vybestack/llxprt-jefe/pull/77#issuecomment-4746527217,2026-06-18T22:10:09Z,2026-06-18T22:15:04Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,4.9
llxprt-jefe,84,4783338767,https://github.com/vybestack/llxprt-jefe/pull/84#issuecomment-4783338767,2026-06-23T20:47:58Z,2026-06-23T21:12:26Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,181.6
llxprt-code,2141,4783414483,https://github.com/vybestack/llxprt-code/pull/2141#issuecomment-4783414483,2026-06-23T20:58:54Z,2026-06-23T21:11:45Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,4.2
llxprt-code,2142,4784207209,https://github.com/vybestack/llxprt-code/pull/2142#issuecomment-4784207209,2026-06-23T23:01:23Z,2026-06-24T01:48:18Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,6.3
llxprt-jefe,85,4784525452,https://github.com/vybestack/llxprt-jefe/pull/85#issuecomment-4784525452,2026-06-23T23:44:46Z,2026-06-23T23:52:41Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,4.8
llxprt-jefe,86,4785079178,https://github.com/vybestack/llxprt-jefe/pull/86#issuecomment-4785079178,2026-06-24T01:30:35Z,2026-06-24T01:30:35Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,235.6
llxprt-luther,64,4785313920,https://github.com/vybestack/llxprt-luther/pull/64#issuecomment-4785313920,2026-06-24T02:18:56Z,2026-06-24T02:18:56Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.2,304.3
llxprt-jefe,88,4786140594,https://github.com/vybestack/llxprt-jefe/pull/88#issuecomment-4786140594,2026-06-24T05:20:56Z,2026-06-24T05:30:49Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,5.2
llxprt-code,2148,4786236378,https://github.com/vybestack/llxprt-code/pull/2148#issuecomment-4786236378,2026-06-24T05:39:29Z,2026-06-24T17:07:40Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,4.2
llxprt-code,2149,4786350654,https://github.com/vybestack/llxprt-code/pull/2149#issuecomment-4786350654,2026-06-24T06:02:53Z,2026-06-25T02:05:35Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,5.1
llxprt-jefe,89,4786600046,https://github.com/vybestack/llxprt-jefe/pull/89#issuecomment-4786600046,2026-06-24T06:43:20Z,2026-06-24T06:55:41Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,2.6
llxprt-code,2151,4786876575,https://github.com/vybestack/llxprt-code/pull/2151#issuecomment-4786876575,2026-06-24T07:26:03Z,2026-06-24T08:08:40Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,34.7
llxprt-code,2154,4792266199,https://github.com/vybestack/llxprt-code/pull/2154#issuecomment-4792266199,2026-06-24T18:05:45Z,2026-06-24T19:22:56Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,8.6
llxprt-code,2156,4792299600,https://github.com/vybestack/llxprt-code/pull/2156#issuecomment-4792299600,2026-06-24T18:10:06Z,2026-06-24T21:45:32Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,4.2
llxprt-code,2157,4792376925,https://github.com/vybestack/llxprt-code/pull/2157#issuecomment-4792376925,2026-06-24T18:20:35Z,2026-06-24T18:20:35Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.2,11.0
llxprt-code,2160,4793050880,https://github.com/vybestack/llxprt-code/pull/2160#issuecomment-4793050880,2026-06-24T19:48:29Z,2026-06-24T23:23:16Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,71.6
llxprt-code,2162,4794326874,https://github.com/vybestack/llxprt-code/pull/2162#issuecomment-4794326874,2026-06-24T22:55:06Z,2026-06-24T23:17:18Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,14.4
llxprt-code,2163,4794448492,https://github.com/vybestack/llxprt-code/pull/2163#issuecomment-4794448492,2026-06-24T23:20:33Z,2026-06-25T00:29:29Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,44.3
llxprt-code,2180,4803333474,https://github.com/vybestack/llxprt-code/pull/2180#issuecomment-4803333474,2026-06-25T19:13:24Z,2026-06-26T17:48:22Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,36.8
llxprt-code,2188,4805994243,https://github.com/vybestack/llxprt-code/pull/2188#issuecomment-4805994243,2026-06-26T02:59:23Z,2026-06-26T16:23:12Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,4.3,9.9
llxprt-code,2191,4807232143,https://github.com/vybestack/llxprt-code/pull/2191#issuecomment-4807232143,2026-06-26T07:16:41Z,2026-06-26T07:16:41Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,43.8
llxprt-code,2192,4808108048,https://github.com/vybestack/llxprt-code/pull/2192#issuecomment-4808108048,2026-06-26T09:03:44Z,2026-06-27T00:29:51Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,14.9
llxprt-jefe,90,4808135311,https://github.com/vybestack/llxprt-jefe/pull/90#issuecomment-4808135311,2026-06-26T09:07:30Z,2026-06-29T21:56:26Z,Review limit reached,adaptive_fair_usage,Pro Plus,59 minutes,yes,2026-07-14,0.2,966.5
llxprt-code,2205,4811254502,https://github.com/vybestack/llxprt-code/pull/2205#issuecomment-4811254502,2026-06-26T16:03:31Z,2026-06-26T16:54:46Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,51.2
llxprt-luther,71,4812603852,https://github.com/vybestack/llxprt-luther/pull/71#issuecomment-4812603852,2026-06-26T19:04:37Z,2026-06-26T19:55:09Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,5.8
llxprt-code,2213,4812928207,https://github.com/vybestack/llxprt-code/pull/2213#issuecomment-4812928207,2026-06-26T19:46:50Z,2026-06-26T22:41:58Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,10.6
llxprt-code,2214,4813113054,https://github.com/vybestack/llxprt-code/pull/2214#issuecomment-4813113054,2026-06-26T20:14:46Z,2026-06-26T22:50:29Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,1.2,9.8
llxprt-code,2215,4813124343,https://github.com/vybestack/llxprt-code/pull/2215#issuecomment-4813124343,2026-06-26T20:16:34Z,2026-06-26T22:05:09Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.2,8.0
llxprt-code,2216,4813830797,https://github.com/vybestack/llxprt-code/pull/2216#issuecomment-4813830797,2026-06-26T22:24:52Z,2026-06-26T22:45:55Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,6.7
llxprt-code,2217,4814190276,https://github.com/vybestack/llxprt-code/pull/2217#issuecomment-4814190276,2026-06-26T23:54:17Z,2026-06-27T00:23:52Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,8.3
llxprt-code,2218,4814532681,https://github.com/vybestack/llxprt-code/pull/2218#issuecomment-4814532681,2026-06-27T01:23:47Z,2026-06-27T01:23:47Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,59.3
llxprt-code,2219,4814683121,https://github.com/vybestack/llxprt-code/pull/2219#issuecomment-4814683121,2026-06-27T02:10:12Z,2026-06-27T20:22:58Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.4,12.9
llxprt-luther,72,4815736027,https://github.com/vybestack/llxprt-luther/pull/72#issuecomment-4815736027,2026-06-27T07:00:44Z,2026-06-27T07:00:44Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.2,1045.5
llxprt-code,2220,4815850825,https://github.com/vybestack/llxprt-code/pull/2220#issuecomment-4815850825,2026-06-27T07:31:11Z,2026-06-27T07:35:39Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,46.1
llxprt-code,2221,4816007254,https://github.com/vybestack/llxprt-code/pull/2221#issuecomment-4816007254,2026-06-27T08:08:48Z,2026-06-27T08:32:07Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.4,8.5
llxprt-code,2222,4816008673,https://github.com/vybestack/llxprt-code/pull/2222#issuecomment-4816008673,2026-06-27T08:09:20Z,2026-06-27T23:28:49Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,8.0
llxprt-code,2223,4816111916,https://github.com/vybestack/llxprt-code/pull/2223#issuecomment-4816111916,2026-06-27T08:34:08Z,2026-06-29T17:56:54Z,Review limit reached,adaptive_fair_usage,Pro Plus,24 minutes,yes,2026-07-14,0.1,38.1
llxprt-code,2225,4816339310,https://github.com/vybestack/llxprt-code/pull/2225#issuecomment-4816339310,2026-06-27T09:17:33Z,2026-06-27T09:17:33Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,472.4
llxprt-code,2226,4816381008,https://github.com/vybestack/llxprt-code/pull/2226#issuecomment-4816381008,2026-06-27T09:27:39Z,2026-06-27T09:27:39Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.5,462.4
llxprt-luther,73,4819675698,https://github.com/vybestack/llxprt-luther/pull/73#issuecomment-4819675698,2026-06-27T17:21:14Z,2026-06-27T17:32:33Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,424.9
llxprt-luther,76,4823082380,https://github.com/vybestack/llxprt-luther/pull/76#issuecomment-4823082380,2026-06-27T23:52:46Z,2026-06-28T08:22:05Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.1,33.4
llxprt-code,2247,4834642213,https://github.com/vybestack/llxprt-code/pull/2247#issuecomment-4834642213,2026-06-29T16:12:44Z,2026-06-29T16:43:15Z,Review limit reached,adaptive_fair_usage,Pro Plus,35 minutes,yes,2026-07-14,0.1,11.5
llxprt-code,2257,4835181063,https://github.com/vybestack/llxprt-code/pull/2257#issuecomment-4835181063,2026-06-29T17:16:08Z,2026-06-30T21:43:58Z,Review limit reached,adaptive_fair_usage,Pro Plus,30 minutes,yes,2026-07-14,0.1,11.7
llxprt-code,2258,4835610576,https://github.com/vybestack/llxprt-code/pull/2258#issuecomment-4835610576,2026-06-29T18:13:22Z,2026-06-29T19:54:13Z,Review limit reached,adaptive_fair_usage,Pro Plus,42 minutes,yes,2026-07-14,0.1,24.1
llxprt-code,2262,4835952895,https://github.com/vybestack/llxprt-code/pull/2262#issuecomment-4835952895,2026-06-29T18:55:25Z,2026-06-29T22:21:52Z,Review limit reached,adaptive_fair_usage,Pro Plus,34 minutes,yes,2026-07-14,0.1,40.6
llxprt-luther,77,4836106974,https://github.com/vybestack/llxprt-luther/pull/77#issuecomment-4836106974,2026-06-29T19:16:25Z,2026-06-29T19:16:25Z,Review limit reached,adaptive_fair_usage,Pro Plus,16 minutes,no,2026-07-14,0.1,824.8
llxprt-code,2264,4836331747,https://github.com/vybestack/llxprt-code/pull/2264#issuecomment-4836331747,2026-06-29T19:38:38Z,2026-06-29T21:24:01Z,Review limit reached,adaptive_fair_usage,Pro Plus,27 minutes,yes,2026-07-14,0.1,81.5
llxprt-code,2265,4836740284,https://github.com/vybestack/llxprt-code/pull/2265#issuecomment-4836740284,2026-06-29T20:28:59Z,2026-06-30T00:36:04Z,Review limit reached,adaptive_fair_usage,Pro Plus,32 minutes,yes,2026-07-14,0.1,31.2
llxprt-luther,79,4837040533,https://github.com/vybestack/llxprt-luther/pull/79#issuecomment-4837040533,2026-06-29T21:07:00Z,2026-06-29T22:39:18Z,Review limit reached,adaptive_fair_usage,Pro Plus,17 minutes,yes,2026-07-14,0.1,714.2
llxprt-code,2266,4837185235,https://github.com/vybestack/llxprt-code/pull/2266#issuecomment-4837185235,2026-06-29T21:23:11Z,2026-06-29T22:05:28Z,Review limit reached,adaptive_fair_usage,Pro Plus,50 minutes,yes,2026-07-14,0.1,32.7
llxprt-code,2268,4837519499,https://github.com/vybestack/llxprt-code/pull/2268#issuecomment-4837519499,2026-06-29T21:56:41Z,2026-06-29T23:52:44Z,Review limit reached,adaptive_fair_usage,Pro Plus,10 minutes,yes,2026-07-14,2.6,4.9
llxprt-code,2269,4838474280,https://github.com/vybestack/llxprt-code/pull/2269#issuecomment-4838474280,2026-06-29T23:33:30Z,2026-06-30T00:26:16Z,Review limit reached,adaptive_fair_usage,Pro Plus,42 minutes,yes,2026-07-14,0.1,14.4
llxprt-jefe,103,4839310700,https://github.com/vybestack/llxprt-jefe/pull/103#issuecomment-4839310700,2026-06-30T02:23:39Z,2026-06-30T03:19:03Z,Review limit reached,adaptive_fair_usage,Pro Plus,4 minutes,yes,2026-07-14,0.2,8.8
llxprt-code,2276,4839525067,https://github.com/vybestack/llxprt-code/pull/2276#issuecomment-4839525067,2026-06-30T03:13:21Z,2026-06-30T03:48:27Z,Review limit reached,adaptive_fair_usage,Pro Plus,24 minutes,yes,2026-07-14,0.1,5.3
llxprt-jefe,104,4839669172,https://github.com/vybestack/llxprt-jefe/pull/104#issuecomment-4839669172,2026-06-30T03:46:10Z,2026-06-30T03:46:10Z,Review limit reached,adaptive_fair_usage,Pro Plus,26 minutes,no,2026-07-14,0.1,2676.9
llxprt-code,2277,4839694668,https://github.com/vybestack/llxprt-code/pull/2277#issuecomment-4839694668,2026-06-30T03:52:34Z,2026-06-30T08:12:00Z,Review limit reached,adaptive_fair_usage,Pro Plus,41 minutes,yes,2026-07-14,0.1,54.2
