finding_id,source_id,context,run_or_session,path,line,category,severity,adjudication,summary
L01,L1,local rerun associated by filename with code PR 2462; SHA/range absent,,packages/mcp/src/client/mcp-oauth-helpers.ts,195,bug,medium,not_adjudicated,"The guard key uses `\0` as a separator, which can cause collisions if either the server name or URL contains a null character. For example, server `'a\0b'` with URL `'c'` produces the same key as server `'a'` with URL `'b\0c'`, leading to incorrect OAuth flow deduplication across unrelated servers. Consider using a separator that cannot appear in these fields, or escape null bytes in the components before joining them."
L02,L1,local rerun associated by filename with code PR 2462; SHA/range absent,,packages/mcp/src/client/mcp-oauth-helpers.ts,139,maintainability,low,not_adjudicated,"This variable name is misleading: it stores the minimum index of either HTTP or HTTPS URLs, not specifically HTTP. Rename it to `lowerUrlIdx` or `urlStartIdx` to accurately reflect its purpose."
L03,L1,local rerun associated by filename with code PR 2462; SHA/range absent,,packages/mcp/src/client/mcp-client.oauth.test.ts,220,bug,high,not_adjudicated,"`showAuthRequiredMessage` intentionally throws `UnauthorizedError`, but `isAuthenticationError` here only matches native `Error` instances. That means this 401 path will NOT be caught by `isAuthenticationError`, so `handleConnectionError` falls through to `throwConnectionError` and loses the `UnauthorizedError` subclass. This changes caller-visible error handling for any code that branches on `UnauthorizedError`. Fix: use a check that treats `UnauthorizedError` as an auth error, or ensure `throw"
L04,L1,local rerun associated by filename with code PR 2462; SHA/range absent,,packages/mcp/src/client/mcp-oauth-helpers.ts,134,test,medium,not_adjudicated,"Add a test case for `detectDeprecatedSSEEndpoint` where multiple URLs appear after the deprecation signal but the first one is not the replacement URL (e.g., a documentation link). The current implementation returns the first URL after the signal, which would incorrectly return the docs URL instead of the replacement endpoint in such cases."
L05,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.sendMessageStream.test.ts,674,maintainability,low,not_adjudicated,"This test now implicitly depends on the client's initialized `runtimeState.provider` rather than asserting a stable expected contract. With `resolveProviderForRuntime` missing from the mock chat, `_getEffectiveModelIdentity()` falls back to `runtimeProviderName`; if runtime defaults change later, this assertion may break even though the behavior under test is unchanged. Strengthen this by either initializing `runtimeState`/`provider` explicitly in the test setup or changing the expectation to a "
L06,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.model-profile.test.ts,0,bug,high,not_adjudicated,"`_getEffectiveModelIdentity()` seeds the provider from `this.runtimeState.provider` even when no chat/provider is actually active. If the runtime snapshot reports a Gemini provider during startup, this method will return `{providerName: 'gemini', ...}` and downstream `ModelInfo` will advertise Gemini even though the user launched with `--provider codex`. The configured provider from `this.config` should be used as the primary source; runtime provider should only override after an active chat has"
L07,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.ts,242,bug,high,not_adjudicated,"`handleModelProfileChanged` now directly overwrites `this.runtimeState.provider` with `profile.providerName` without validating that the payload belongs to the configured runtime. This makes the client susceptible to external/mismatched profile events flipping the active provider/model to an incorrect value, which is the most plausible root cause of issue #2544 (Codex startup showing `gemini`). Either gate this mutation behind a same-provider check, or reject mismatched payloads so startup-time "
L08,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.ts,152,bug,medium,not_adjudicated,"`runtimeState` is now mutated from two asynchronous sources: `subscribeToAgentRuntimeState` and `handleModelProfileChanged`. Without ordering/versioning guards, a late or stale profile event can overwrite a newer runtime snapshot, causing provider/model flickering and inconsistent identity across concurrent streams. Consider debouncing profile updates, versioning snapshots by `updatedAt`/sequence, or applying profile mutations only when they arrive after the current runtime snapshot timestamp."
L09,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.ts,731,bug,medium,not_adjudicated,"When `chat.resolveProviderForRuntime` throws, the catch path falls back to `runtimeProviderName` from `this.runtimeState`. Because that value may have been mutated by a stale or incorrect profile event, this fallback propagates the wrong provider instead of failing safe to user config. Prefer falling back to the configured provider identity rather than runtime state here."
L10,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/client.ts,245,bug,low,not_adjudicated,`profile.model` is written unconditionally even though `ModelProfileInfoPayload.model` is typed as `string` but callers may emit empty/placeholder strings. This can clear model identity unexpectedly. Apply the same nullish/nonblank guard used for `providerName` so undefined/empty strings do not clobber the existing model.
L11,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/MessageStreamOrchestrator.modelinfo.test.ts,362,test,medium,not_adjudicated,"The 'B1: load-balancer profile reports the active sub-profile model' test is now weaker. Previously it verified precedence by setting `model: 'gemini-2.5-pro'` (config default) and `providerManagerActiveModel: 'glm-5.2'`, asserting the orchestrator preferred the provider's active model. The new version sets `model: 'glm-5.2'` directly, so the test passes trivially even if profile resolution is broken - it only verifies the config model is returned, not that the load-balancer profile actually res"
L12,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/MessageStreamOrchestrator.modelinfo.test.ts,199,test,low,not_adjudicated,"`resetCurrentSequenceModel` is replaced with a no-op `vi.fn()` mock. If the orchestrator calls this expecting to reset internal sequence model state between turns, and the mock doesn't actually clear anything, this could mask state leakage where a sequence model from a previous turn persists incorrectly into subsequent turns. While the harness no longer tracks `currentSequenceModel`, verify the orchestrator implementation doesn't rely on this callback for state cleanup."
L13,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/providers/src/runtime/runtimeAccessors.ts,524,bug,high,not_adjudicated,"The provider-resolution precedence in `getActiveProviderStatus()` has been inverted: the function now reports the config-resolved provider name via `getProviderByName(resolvedName)` even when `providerManager.getActiveProvider()` is a different provider. The test `reports resolved codex identity and metadata while the active provider is still gemini` explicitly encodes this behavior, but it directly contradicts the old invariant that `getActiveProviderStatus()` reflects the actually active provi"
L14,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/modelInfoHelpers.ts,26,bug,high,not_adjudicated,"`readModel` catches all synchronous exceptions from `getCurrentModel`/`getDefaultModel` and silently returns `undefined`. This hides provider bugs and can cause `buildEffectiveModelIdentity` to fall back to `configFallback` while still returning whatever `routedProviderName` the caller supplied. If that name is stale/default-manager state, the emitted `ModelInfo` will report a provider/model mismatch—exactly the pattern described in issue #2544. Either remove the blanket swallow or log and rethr"
L15,L2,local issue-2544 remediation review; not PR 2547,e3edffa9-ce8d-41ac-a6bf-0eb376088a6d,packages/agents/src/core/modelInfoHelpers.ts,36,bug,high,not_adjudicated,"This fallback path still uses `this.config.getModel()` for the model, but it does not recompute the provider name from config when `resolveProviderForRuntime` fails or yields no usable model. As a result, the returned `EffectiveModelIdentity` can combine a stale `runtimeProviderName` with a config-derived model, producing an inconsistent identity such as `gemini:gpt-5.6-sol`. Update the fallback to derive both provider name and model from the same config/provider-manager source, or reuse the ori"
L16,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/issues_tests_detail_flow.rs,380,bug,medium,human_triage_no_action,"After switching repositories, this test previously asserted that the list reload was triggered (`loading.list` was true) and that the cursor was cleared. The updated assertion now checks `!list_loading()`, which directly contradicts the test comment 'Issues data should be cleared and reload triggered.' I traced `SelectRepository` handling in `src/state/mod.rs`: `select_repository_by_index` does not trigger any issue-list reload or loading state, so unless the intended behavior truly changed, the"
L17,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/prs_merge_ops.rs,173,performance,medium,human_triage_no_action,"The new implementation clones the entire PR list into a new `Vec`, iterates it, and then writes the whole vector back via `replace_items()`. The original code mutated the matching PR in-place via `iter_mut().find(...)`, which avoids allocation and is the idiomatic approach here. `replace_items()` is documented as intended for test setup / persisted-snapshot restore, not per-event list mutation. This is an unnecessary allocation/copy on every `PrMerged` event and weakens the performance/design in"
L18,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/prs_integration_tests.rs,0,performance,low,human_triage_no_action,"Performance: this merge-success path now clones the entire PR list (`items().to_vec()`), mutates the clone, and replaces the whole collection via `replace_items(prs)`. The old code updated the matched PR in-place with `iter_mut()`. If the PR list is large, this adds an unnecessary full allocation on every successful merge. If `replace_items` triggers a full UI redraw, it also broadens the invalidation scope beyond just the merged PR. Consider whether `replace_items` offers an in-place mutation p"
L19,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/prs_test_fixtures.rs,0,maintainability,medium,human_triage_no_action,"This changes `prs_state_with_detail` from directly assigning `state.prs_state.pull_requests = vec![...]` / `selected_pr_index = Some(0)` to using `list.replace_items(..)` / `list.set_selected_index(Some(0))`. That is a breaking change for any existing caller of this helper (including other `prs_*` test fixtures that haven't been migrated yet). If any caller still writes `state.prs_state.pull_requests = ...` or `selected_pr_index = ...`, it will no longer compile. Keep the direct-field assignment"
L20,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,tests/core/message_bus_contracts.rs,235,bug,high,human_triage_no_action,"The test is named `typed_apply_search_commits_query_and_starts_reload`, indicating it should verify that applying search starts a reload. However, the assertion `assert!(!state.issues_state.list_loading())` checks that list loading is false, directly contradicting the ""starts_reload"" intent. Either the assertion should be `assert!(state.issues_state.list_loading())` to match the test name, or the test name should be updated to reflect the actual behavior being verified (e.g., ""clears_list_state_"
L21,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,tests/core/message_bus_contracts.rs,211,documentation,low,human_triage_no_action,"The comment states ""Populate list with items"" but the code passes `issues: vec![]` (an empty list). This is misleading; update the comment to accurately describe the setup, e.g., ""Populate list state with cursor and selection"" or ""Set up list metadata without items""."
L22,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/prs_tests_pagination.rs,110,bug,medium,human_triage_no_action,"In `assert_stale_pages_discarded`, the test verifies that stale page data is not appended but does not assert that `list_pending()` is cleared after the discard. The helper calls `mark_pr_list_page_loading` to simulate an in-flight request, then delivers stale responses, but never checks `!state.prs_state.list_pending()` afterward. I verified that `PaginatedList::accept_page` does clear `pending = None` even when returning `AcceptOutcome::Stale`, so the missing assertion covers a real behavioral"
L23,L3,"mounted Jefe staged evidence associated with PR 236; composite file, Jefe text blocks only",,src/state/prs_tests_pagination.rs,23,maintainability,low,human_triage_no_action,"In `load_first_page_and_navigate_to_end`, the test allocates a request ID via `state.prs_state.list.next_request_id().map(...).unwrap_or(0)`, relying on the assumption that `begin_pr_list_reload` has already consumed an ID. If the fixture were ever changed so `begin_pr_list_reload` no longer consumes an ID (or the counter were reset), this fallback would silently use `request_id = 0`. While the current `PaginatedList::next_request_id` starts from `0` via `last_request_id: ListRequestId::default("
