finding_id,repository,pr_number,finding_url,summary,category,validity,action,action_quality,usefulness,action_evidence
C1,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881598,suggestedUrl fallback allegedly dead; empty-string behavior underdocumented,maintainability,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C2,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881606,in-flight OAuth promise can hang permanently,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C3,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3551881612,exact SSE deprecation phrase is brittle,robustness,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4925835587
C4,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236329,uppercase URL schemes are not extracted,robustness,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C5,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236335,OAuth timeout timer survives successful completion,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C6,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462#discussion_r3552236343,timed-out browser OAuth is not cancellable,lifecycle,partial,explained-dismissed,appropriate,medium,https://github.com/vybestack/llxprt-code/pull/2462#issuecomment-4926234148
C7,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,inherited trust display lacks a reliable string fallback,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C8,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,exit-only component is misleadingly named RestartingMessage,maintainability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C9,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,test helper mutates an imported module object,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C10,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,aborted failed connect can leak transport,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C11,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,duplicate report of the same transport leak,lifecycle,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
C12,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547#issuecomment-4954570066,tool refresh timeout is not cleared on all exits,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-code/commit/7841dae14094d2ccc04ddcce7628491537ff6e6d
J1,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851545,u32::MAX help-scroll sentinel reaches hit testing,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J2,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851551,help viewport magic numbers duplicate renderer values,maintainability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J3,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851555,unused chooser geometry parameters,maintainability,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J4,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851557,chooser width coupling can drift,maintainability,partial,deferred,appropriate,medium,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J5,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851564,wildcard modal match weakens future exhaustiveness,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J6,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181#discussion_r3560851571,help title row count is a magic 2,maintainability,partial,fixed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/181#issuecomment-4938252871
J7,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637933,PR fixture identity uses number zero,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
J8,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637939,cancel_pending is unreachable after detail is cleared,lifecycle,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
J9,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637945,failure event is dropped but loading-state consequence is overstated,correctness,partial,fixed,appropriate,high,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
J10,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637949,matching-token test comment is false,tests,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
J11,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637952,comment-pending cleanup coverage was removed,tests,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
J12,vybestack/llxprt-jefe,275,https://github.com/vybestack/llxprt-jefe/pull/275#discussion_r3572637959,P15 documentation is attached to the wrong test,maintainability,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-jefe/pull/275#issuecomment-4960919414
L1,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454606,exclude_labels is overloaded as parent-active labels,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528721545
L2,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454685,SQLite error is fabricated as a GitHub command failure,observability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-luther/pull/110
L3,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454790,route_issue clones an already-owned issue,performance,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528721862
L4,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525454926,missing run becomes misleading Some empty string,correctness,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110
L5,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455032,duplicate of missing-run Some-empty concern,correctness,valid,fixed,appropriate,low,https://github.com/vybestack/llxprt-luther/pull/110
L6,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3525455138,poller SQLite connection lacks busy_timeout,concurrency,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/110#discussion_r3528722121
L7,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579052,persistence failure is misclassified as SQL conversion failure,observability,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/133
L8,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579053,RunMissing only goes to stderr and is not structured,observability,valid,fixed,appropriate,medium,https://github.com/vybestack/llxprt-luther/pull/133
L9,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579055,boxed and cloned SQL bind values allocate unnecessarily,performance,partial,fixed,appropriate,medium,https://github.com/vybestack/llxprt-luther/pull/133
L10,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579057,owned Option String allocation for new_run_id,performance,partial,fixed,appropriate,low,https://github.com/vybestack/llxprt-luther/pull/133
L11,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579058,placeholder offsets are allegedly hardcoded and untested,tests,invalid,explained-dismissed,appropriate,low,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565680912
L12,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133#discussion_r3565579059,no coverage for expected_run_id Some guard,tests,valid,fixed,appropriate,high,https://github.com/vybestack/llxprt-luther/pull/133
